movieId,peopleId
35833,p_112152
35841,p_112157
35842,p_112168
35901,p_39639
35939,p_112452
19437,p_9556
36012,p_112653
36066,p_22767
36158,p_112996
36205,p_508
36303,p_113291
36529,p_25645
36586,p_113867
36642,p_29388
36716,p_114241
36878,p_114529
36910,p_114622
37000,p_90965
37008,p_5917
37295,p_115772
37370,p_115997
37371,p_70008
37379,p_43141
37393,p_101751
37402,p_44955
37725,p_116872
37834,p_117273
37218,p_22676
37901,p_21183
37906,p_117639
37940,p_17016
37945,p_113867
38070,p_37302
38083,p_101751
38148,p_29922
38187,p_118535
38203,p_24419
38210,p_118611
35147,p_66739
38305,p_118846
38465,p_119286
38485,p_112145
38599,p_32375
38621,p_120097
38797,p_67897
38829,p_12453
38862,p_120904
38897,p_110232
38978,p_121092
39041,p_12180
39113,p_83924
39130,p_121485
39206,p_110232
39335,p_18969
39350,p_80904
39390,p_121820
39550,p_84351
39562,p_34639
39696,p_122438
39710,p_32244
39721,p_122514
39745,p_71640
39792,p_2801
39868,p_122798
39868,p_122800
39868,p_122801
40436,p_9054
41000,p_124526
41369,p_124938
41490,p_57641
41539,p_4755
39000,p_88481
41591,p_1011
41595,p_125621
41595,p_125622
41611,p_125637
41616,p_125640
41671,p_125936
41871,p_126806
41978,p_35585
42236,p_118462
42311,p_128765
42483,p_111511
42537,p_5026
42555,p_129963
42668,p_102577
39851,p_34396
42745,p_97202
42974,p_90334
42976,p_120618
43152,p_133174
43218,p_86167
43441,p_12329
43565,p_134763
43722,p_52576
43820,p_135967
43830,p_9603
43870,p_12786
44077,p_37627
44384,p_137816
44466,p_138377
44541,p_37626
44542,p_24547
44641,p_25161
22081,p_4780
44694,p_20025
44748,p_139508
44404,p_138669
44820,p_25645
45034,p_49892
45168,p_29433
45333,p_63937
45337,p_21677
45337,p_56711
42505,p_87912
45382,p_2991
45537,p_141956
45702,p_6759
46067,p_92379
46360,p_115041
46578,p_23357
46634,p_72905
46650,p_75584
46917,p_65282
47603,p_90695
47696,p_149726
46872,p_73035
47728,p_103812
47981,p_150565
48043,p_25882
48092,p_8872
48258,p_97934
48462,p_151551
48485,p_19829
48502,p_151625
48719,p_152259
48719,p_152260
48829,p_115825
48875,p_152635
38914,p_16848
36954,p_65420
48045,p_87058
49174,p_153167
49301,p_30149
49944,p_26265
50009,p_81796
50059,p_155220
48048,p_88881
50219,p_155509
50312,p_113806
48941,p_68843
48941,p_68844
